zip,lat,lon
16127,41.1607,-80.0841
16146,41.2316,-80.4993
16154,41.3244,-80.4197
16201,40.8155,-79.5107
16214,41.2123,-79.3773
16335,41.6338,-80.1488
16346,41.3744,-79.6759
16354,41.6382,-79.6855
16365,41.8436,-79.1726
16407,41.9226,-79.6567
16504,42.1108,-80.0521
16509,42.0763,-80.0668
16544,42.1827,-80.0649
16550,42.1292,-80.0851
16601,40.5209,-78.4089
16602,40.5052,-78.3905
16646,40.6659,-78.7029
16652,40.5023,-78.005
16673,40.3277,-78.3928
16686,40.6619,-78.2419
16735,41.6619,-78.7978
16803,40.8082,-77.8926
16828,40.8254,-77.6742
16901,41.7373,-77.308
16915,41.7762,-77.9567
16947,41.7781,-76.7711
17011,40.2352,-76.9291
17015,40.1772,-77.2312
17025,40.2922,-76.9432
17033,40.2638,-76.6545
17042,40.3316,-76.3976
17044,40.5994,-77.5756
17064,40.2476,-76.4711
17104,40.2597,-76.8594
17110,40.303,-76.8862
17201,39.9313,-77.6579
17233,39.9443,-77.9901
17257,40.0514,-77.5195
17268,39.7635,-77.5674
17325,39.832,-77.2223
17331,39.7943,-76.9812
17402,39.959,-76.6592
17403,39.9494,-76.713
17408,39.9492,-76.8018
17522,40.1756,-76.1821
17543,40.1846,-76.3015
17601,40.0766,-76.3107
17602,40.0335,-76.2844
17603,40.0091,-76.3671
17701,41.2412,-77.0011
17740,41.247,-77.2706
17756,41.2137,-76.7633
17764,41.3334,-77.7448
17815,41.0115,-76.4384
17821,40.9799,-76.6229
17822,40.9674,-76.6049
17837,40.9702,-76.9099
17901,40.684,-76.2123
17961,40.6431,-76.084
18015,40.6002,-75.3805
18042,40.6516,-75.224
18045,40.6957,-75.2865
18062,40.5285,-75.5666
18103,40.5891,-75.4645
18201,40.9488,-75.9563
18218,40.8219,-75.9104
18235,40.8299,-75.6974
18301,41.0367,-75.1735
18360,40.9877,-75.2485
18411,41.4878,-75.7057
18431,41.5792,-75.2528
18501,41.4019,-75.6376
18507,41.3554,-75.6805
18510,41.408,-75.6484
18519,41.4092,-75.6649
18603,41.0665,-76.2443
18711,41.2722,-75.8801
18764,41.2722,-75.8801
18801,41.8396,-75.8821
18840,41.9842,-76.5218
18847,41.9487,-75.5862
18901,40.3054,-75.1489
18951,40.4411,-75.3507
18960,40.362,-75.319
19001,40.1238,-75.1148
19002,40.1809,-75.2156
19007,40.1159,-74.8536
19010,40.0236,-75.3295
19013,39.8498,-75.3747
19020,40.1109,-74.9378
19023,39.9176,-75.2696
19034,40.1386,-75.2022
19046,40.098,-75.1078
19047,40.1813,-74.9104
19063,39.9188,-75.3991
19096,40.0,-75.276
19104,39.9597,-75.2024
19107,39.9487,-75.1593
19114,40.0634,-74.999
19118,40.0723,-75.2034
19122,39.978,-75.1459
19124,40.0178,-75.0895
19128,40.0402,-75.2231
19129,40.0118,-75.1861
19131,39.9845,-75.2282
19134,39.9925,-75.1133
19140,40.0118,-75.1456
19141,40.0365,-75.1451
19145,39.9227,-75.1812
19152,40.0606,-75.0471
19301,40.0426,-75.4827
19320,39.9843,-75.8253
19380,39.9845,-75.5962
19401,40.1245,-75.3304
19403,40.1496,-75.3796
19446,40.2378,-75.2955
19460,40.1267,-75.5272
19464,40.2635,-75.6172
19468,40.2075,-75.5329
19565,40.3293,-76.0901
19601,40.3466,-75.9351
19605,40.3886,-75.9328
19610,40.338,-75.978
19611,40.325,-75.9442
19713,39.6699,-75.7151
19718,39.5645,-75.597
19720,39.5929,-75.6515
19805,39.7434,-75.5827
19899,39.7459,-75.5466
19901,39.1564,-75.4955
19947,38.679,-75.3932
19958,38.7381,-75.1747
19963,38.9218,-75.4299
19973,38.6404,-75.6041
20007,38.9144,-77.074
20010,38.9327,-77.0322
20016,38.9381,-77.086
20032,38.8338,-76.9995
20037,38.9014,-77.0504
20060,38.918,-77.0204
20110,38.7492,-77.4878
20166,38.9814,-77.4723
20169,38.8674,-77.6445
20176,39.1821,-77.5359
20186,38.6898,-77.8361
20190,38.9615,-77.3418
