https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,30-Apr-25,Data refreshed
https://data.cms.gov/provider-data/dataset/c7us-v4mf,Payment and Value of Care - Hospital,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/ygty-mm5a,Payment - National,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/98ix-2iqy,Payment - State,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/f4ga-b9gx,Promoting Interoperability,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,30-Apr-25,No updates; Open/Closed applied
https://data.cms.gov/provider-data/dataset/k653-4ka8,Safety and Healthcare-Associated Infection Measures - PPS-Exempt Cancer Hospital,30-Apr-25,Data refreshed except for PCH-28
https://data.cms.gov/provider-data/dataset/5gv4-jwyv,Table 1: FY2021 Net Change in Base Operating DRG Payment Amount,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/xrgf-x36b,Table 2: FY2021 Distribution of Net Change in Base Operating DRG Payment Amount,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/u625-zae7,Table 3: FY2021 Percent Change in Medicare Payments,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/vtqa-m4zn,Table 4: FY2021 Value-Based Incentive Payment Amount,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/yv7e-xc69,Timely and Effective care - Hospital,30-Apr-25,"HCP COVID-19, SEP-1, SEV-SEP-6HR, SEV-SEP-3HR, SEV-SH-6HR, SEV-SH-3HR, OP-18b, OP-18c, and OP-23 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/isrn-hqyy,Timely and Effective Care - National,30-Apr-25,"HCP COVID-19, SEP-1, SEV-SEP-6HR, SEV-SEP-3HR, SEV-SH-6HR, SEV-SH-3HR, OP-18b, OP-18c, and OP-23 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/apyc-v239,Timely and Effective Care - State,30-Apr-25,"HCP COVID-19, SEP-1, SEV-SEP-6HR, SEV-SEP-3HR, SEV-SH-6HR, SEV-SH-3HR, OP-18b, OP-18c, and OP-23 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/632h-zaca,Unplanned Hospital Visits - Hospital,30-Apr-25,No updates; Open/Closed applied
https://data.cms.gov/provider-data/dataset/cvcs-xecj,Unplanned Hospital Visits - National,30-Apr-25,No updates; Open/Closed applied
https://data.cms.gov/provider-data/dataset/4gkm-5ypv,Unplanned Hospital Visits - State,30-Apr-25,No updates; Open/Closed applied
https://data.cms.gov/provider-data/dataset/gbq5-7hzr,Value of Care- National,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/uyx4-5s7f,Veterans Health Administration Provider Level Data,30-Apr-25,No updates
https://data.cms.gov/provider-data/search?fulltext=vha&theme=Hospitals,Veterans Health Administration Timely and Effective Care Data,30-Apr-25,"Data refreshed for HCP-COVID-19, OP-18b, OP-18c, OP-23, and SEP-1."
https://data.cms.gov/provider-data/dataset/4jcv-atw7,Ambulatory Surgical Measures-Facility,19-Feb-25,"ASC-12, ASC-17, ASC-18, and ASC-19 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/wue8-3vwe,Ambulatory Surgical Measures-National,19-Feb-25,"ASC-12, ASC-17, ASC-18, and ASC-19 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/axe7-s95e,Ambulatory Surgical Measures-State,19-Feb-25,"ASC-12, ASC-17, ASC-18, and ASC-19 were refreshed; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/ynj2-r877,Complications and Deaths- Hospital,19-Feb-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qqw3-t4ie,Complications and Deaths - National,19-Feb-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/bs2r-24vh,Complications and Deaths- State,19-Feb-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,19-Feb-25,Data refreshed; Open/Closed List applied 
https://data.cms.gov/provider-data/dataset/bzsr-4my4,Data Updates,19-Feb-25,Data refreshed
